model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
RF,400,0,side_effect_3,0,0.7357052669552671,158,94,24,64,0.33
RF,400,0,side_effect_3,1,0.7340744533021283,158,68,36,85,0.31
RF,400,0,side_effect_3,2,0.7439010177919354,168,43,51,71,0.41
RF,400,0,side_effect_3,3,0.7770676691729324,147,77,20,75,0.3
RF,400,0,side_effect_3,4,0.7540314092038229,183,20,54,63,0.35
RF,400,1,side_effect_3,0,0.7315546931845743,165,52,39,56,0.38
RF,400,1,side_effect_3,1,0.7361396762943753,169,42,45,61,0.4
RF,400,1,side_effect_3,2,0.7678047588005215,136,100,16,88,0.35
RF,400,1,side_effect_3,3,0.6842029521812425,166,35,62,59,0.44
RF,400,1,side_effect_3,4,0.7450028944052849,206,45,51,66,0.43
RF,400,2,side_effect_3,0,0.732688995215311,153,56,48,77,0.36
RF,400,2,side_effect_3,1,0.7319141994943317,177,24,66,56,0.46
RF,400,2,side_effect_3,2,0.7454289732770745,196,41,38,52,0.35
RF,400,2,side_effect_3,3,0.748249299719888,160,68,36,83,0.32
RF,400,2,side_effect_3,4,0.7367768397958695,175,66,33,54,0.29
RF,400,3,side_effect_3,0,0.7510745276133323,164,45,45,73,0.42
RF,400,3,side_effect_3,1,0.7057597574838954,177,26,66,64,0.47
RF,400,3,side_effect_3,2,0.742080313596791,142,71,32,71,0.33
RF,400,3,side_effect_3,3,0.7452988434713517,210,31,44,50,0.4
RF,400,3,side_effect_3,4,0.7692653061224488,199,51,36,62,0.37
RF,400,4,side_effect_3,0,0.7712068901510932,186,33,55,68,0.41
RF,400,4,side_effect_3,1,0.6817727662003996,182,44,47,46,0.4
RF,400,4,side_effect_3,2,0.7246745660881175,176,38,57,55,0.4
RF,400,4,side_effect_3,3,0.7561210719105458,164,64,30,61,0.33
RF,400,4,side_effect_3,4,0.7598605437385548,170,59,46,78,0.37
RF,400,5,side_effect_3,0,0.7061274509803923,162,58,38,64,0.35
RF,400,5,side_effect_3,1,0.7607886904761905,172,52,44,76,0.35
RF,400,5,side_effect_3,2,0.7706043956043956,182,49,38,66,0.37
RF,400,5,side_effect_3,3,0.7572179572763684,163,61,34,73,0.35
RF,400,5,side_effect_3,4,0.7934645999162129,168,49,33,77,0.31
RF,400,6,side_effect_3,0,0.7167957117331745,177,42,49,66,0.41
RF,400,6,side_effect_3,1,0.7205907244414353,157,54,45,67,0.35
RF,400,6,side_effect_3,2,0.7924786324786325,202,32,39,61,0.4
RF,400,6,side_effect_3,3,0.7614403140718929,167,42,40,77,0.36
RF,400,6,side_effect_3,4,0.7157584071164318,141,102,24,75,0.27
RF,400,7,side_effect_3,0,0.7797385620915033,212,31,37,48,0.42
RF,400,7,side_effect_3,1,0.7432289117311144,205,22,60,48,0.49
RF,400,7,side_effect_3,2,0.7375102040816327,167,29,59,66,0.38
RF,400,7,side_effect_3,3,0.7233095402563513,118,84,32,97,0.29
RF,400,7,side_effect_3,4,0.7427125336021507,196,52,40,56,0.36
RF,400,8,side_effect_3,0,0.795833819582215,162,47,32,91,0.39
RF,400,8,side_effect_3,1,0.7366514375374958,197,36,46,47,0.43
RF,400,8,side_effect_3,2,0.7109164420485176,133,91,28,78,0.29
RF,400,8,side_effect_3,3,0.7502822125463634,184,28,54,63,0.42
RF,400,8,side_effect_3,4,0.6983072074983839,200,38,52,52,0.42
RF,400,9,side_effect_3,0,0.7374474348191759,164,41,47,69,0.35
RF,400,9,side_effect_3,1,0.724429315178214,176,51,45,65,0.4
RF,400,9,side_effect_3,2,0.7331172008808416,210,34,29,38,0.46
RF,400,9,side_effect_3,3,0.7726230343622595,166,36,55,81,0.41
RF,400,9,side_effect_3,4,0.7121848739495799,223,15,70,44,0.52
LR,400,0,side_effect_3,0,0.7737128712871287,145,57,25,75,0.33
LR,400,0,side_effect_3,1,0.7040212288222086,152,61,47,68,0.32
LR,400,0,side_effect_3,2,0.7485655054973531,202,25,59,60,0.46
LR,400,0,side_effect_3,3,0.7061350960545342,193,42,50,53,0.45
LR,400,0,side_effect_3,4,0.6823241493644904,153,86,36,70,0.29
LR,400,1,side_effect_3,0,0.7548315602836879,184,51,33,63,0.37
LR,400,1,side_effect_3,1,0.6104066873297643,214,20,64,27,0.54
LR,400,1,side_effect_3,2,0.6662851037851037,140,84,40,77,0.3
LR,400,1,side_effect_3,3,0.720550739418664,173,49,44,62,0.43
LR,400,1,side_effect_3,4,0.773912392922605,167,34,51,82,0.35
LR,400,2,side_effect_3,0,0.7315229921864993,174,37,50,61,0.5
LR,400,2,side_effect_3,1,0.6854164141108015,165,54,49,64,0.37
LR,400,2,side_effect_3,2,0.6910542068506816,156,61,39,58,0.33
LR,400,2,side_effect_3,3,0.7796854231280461,162,60,36,86,0.33
LR,400,2,side_effect_3,4,0.7621052631578947,176,71,26,74,0.32
LR,400,3,side_effect_3,0,0.7425571504518873,183,45,41,58,0.4
LR,400,3,side_effect_3,1,0.6959276349520251,145,77,42,81,0.3
LR,400,3,side_effect_3,2,0.690082304526749,171,54,47,61,0.38
LR,400,3,side_effect_3,3,0.7764759725400459,191,39,35,60,0.45
LR,400,3,side_effect_3,4,0.7244758615149811,175,36,55,63,0.49
LR,400,4,side_effect_3,0,0.7094218150303331,167,30,60,63,0.43
LR,400,4,side_effect_3,1,0.6462406683256309,195,37,55,42,0.5
LR,400,4,side_effect_3,2,0.7462393162393163,140,94,20,80,0.31
LR,400,4,side_effect_3,3,0.6928312329381847,143,78,41,80,0.37
LR,400,4,side_effect_3,4,0.7526622718052739,168,64,29,73,0.34
LR,400,5,side_effect_3,0,0.7568351691581432,177,71,23,59,0.27
LR,400,5,side_effect_3,1,0.7732034359941335,164,58,34,95,0.37
LR,400,5,side_effect_3,2,0.7330932372949179,179,31,57,62,0.54
LR,400,5,side_effect_3,3,0.7124307336035067,172,42,49,64,0.47
LR,400,5,side_effect_3,4,0.6880180180180181,173,49,50,50,0.41
LR,400,6,side_effect_3,0,0.74140831530882,166,53,40,74,0.41
LR,400,6,side_effect_3,1,0.7086074099061113,204,27,43,34,0.48
LR,400,6,side_effect_3,2,0.7455541545284577,168,43,42,67,0.31
LR,400,6,side_effect_3,3,0.7595952116500061,179,40,41,70,0.43
LR,400,6,side_effect_3,4,0.7354262968669748,141,95,30,102,0.23
LR,400,7,side_effect_3,0,0.7760451505016723,188,42,33,71,0.36
LR,400,7,side_effect_3,1,0.6975924547034003,185,52,39,46,0.37
LR,400,7,side_effect_3,2,0.7449414715719064,161,69,33,71,0.28
LR,400,7,side_effect_3,3,0.6944965603502189,172,36,57,66,0.41
LR,400,7,side_effect_3,4,0.7219838041571818,146,65,43,84,0.39
LR,400,8,side_effect_3,0,0.7526843865516635,184,63,31,61,0.36
LR,400,8,side_effect_3,1,0.7681727309076369,166,39,47,75,0.4
LR,400,8,side_effect_3,2,0.7312051143675536,163,58,41,68,0.37
LR,400,8,side_effect_3,3,0.7351594190256029,195,32,46,55,0.47
LR,400,8,side_effect_3,4,0.7091114223467165,157,59,46,73,0.36
LR,400,9,side_effect_3,0,0.7244004400440044,178,47,44,57,0.4
LR,400,9,side_effect_3,1,0.712516585581601,171,67,32,63,0.27
LR,400,9,side_effect_3,2,0.731624147511998,192,22,56,55,0.52
LR,400,9,side_effect_3,3,0.7014093739757457,147,79,35,73,0.3
LR,400,9,side_effect_3,4,0.7661018192488264,146,67,27,101,0.29
Adaboost,400,0,side_effect_3,0,0.7178137828631321,117,97,26,81,0.49
Adaboost,400,0,side_effect_3,1,0.7320204755055421,134,89,25,81,0.49
Adaboost,400,0,side_effect_3,2,0.7499090798884712,184,35,54,59,0.5
Adaboost,400,0,side_effect_3,3,0.6904437908783636,110,99,29,80,0.49
Adaboost,400,0,side_effect_3,4,0.6282278294230486,200,51,66,42,0.5
Adaboost,400,1,side_effect_3,0,0.6801534705266831,151,37,66,56,0.5
Adaboost,400,1,side_effect_3,1,0.7210257740875281,160,86,35,59,0.49
Adaboost,400,1,side_effect_3,2,0.7026628398309814,115,107,23,90,0.49
Adaboost,400,1,side_effect_3,3,0.5909110993283846,110,136,28,64,0.49
Adaboost,400,1,side_effect_3,4,0.6671709820744599,175,39,71,51,0.5
Adaboost,400,2,side_effect_3,0,0.6312414109024278,172,64,57,54,0.5
Adaboost,400,2,side_effect_3,1,0.6844682835820897,128,73,39,89,0.49
Adaboost,400,2,side_effect_3,2,0.6626402271563562,138,79,40,59,0.49
Adaboost,400,2,side_effect_3,3,0.6876634699215345,113,109,23,70,0.49
Adaboost,400,2,side_effect_3,4,0.7313988095238095,130,110,23,89,0.49
Adaboost,400,3,side_effect_3,0,0.661158354401287,177,52,47,48,0.5
Adaboost,400,3,side_effect_3,1,0.7337027882907239,121,93,28,93,0.49
Adaboost,400,3,side_effect_3,2,0.7433963098977922,203,30,46,51,0.5
Adaboost,400,3,side_effect_3,3,0.7257035796858806,183,39,56,57,0.5
Adaboost,400,3,side_effect_3,4,0.652983611699208,128,90,42,75,0.49
Adaboost,400,4,side_effect_3,0,0.7135694516866551,132,101,29,78,0.49
Adaboost,400,4,side_effect_3,1,0.6481152993348115,170,35,70,51,0.5
Adaboost,400,4,side_effect_3,2,0.7458197148406045,132,95,17,76,0.49
Adaboost,400,4,side_effect_3,3,0.6977513227513228,119,97,30,89,0.49
Adaboost,400,4,side_effect_3,4,0.6521379880190045,123,112,32,71,0.49
Adaboost,400,5,side_effect_3,0,0.7054530874097835,111,104,27,89,0.49
Adaboost,400,5,side_effect_3,1,0.6445178989026803,127,91,40,62,0.49
Adaboost,400,5,side_effect_3,2,0.6853900360537528,182,34,64,49,0.5
Adaboost,400,5,side_effect_3,3,0.7112781347234007,179,40,51,62,0.5
Adaboost,400,5,side_effect_3,4,0.6560361681329423,197,51,57,42,0.5
Adaboost,400,6,side_effect_3,0,0.6882386619228724,136,73,44,73,0.49
Adaboost,400,6,side_effect_3,1,0.6918478260869565,131,93,35,80,0.49
Adaboost,400,6,side_effect_3,2,0.7478146463294978,188,34,50,51,0.5
Adaboost,400,6,side_effect_3,3,0.6896795571180346,114,105,25,88,0.49
Adaboost,400,6,side_effect_3,4,0.729658345403425,144,98,27,70,0.49
Adaboost,400,7,side_effect_3,0,0.6489060731799321,195,46,51,37,0.5
Adaboost,400,7,side_effect_3,1,0.7035829257075966,85,116,18,101,0.49
Adaboost,400,7,side_effect_3,2,0.7438710653753027,146,90,30,82,0.49
Adaboost,400,7,side_effect_3,3,0.6769298245614036,129,71,46,68,0.49
Adaboost,400,7,side_effect_3,4,0.7171504965622614,163,75,35,75,0.49
Adaboost,400,8,side_effect_3,0,0.707138773176509,184,47,49,57,0.5
Adaboost,400,8,side_effect_3,1,0.7157851239669422,145,97,29,71,0.49
Adaboost,400,8,side_effect_3,2,0.7505071770334928,178,31,58,67,0.5
Adaboost,400,8,side_effect_3,3,0.6093443445727061,190,27,69,32,0.5
Adaboost,400,8,side_effect_3,4,0.6654626977207623,176,41,63,48,0.5
Adaboost,400,9,side_effect_3,0,0.707971733201091,106,116,25,84,0.49
Adaboost,400,9,side_effect_3,1,0.6621951219512194,210,10,88,35,0.51
Adaboost,400,9,side_effect_3,2,0.6705262229279696,133,96,34,65,0.49
Adaboost,400,9,side_effect_3,3,0.7175043726410752,112,101,23,79,0.49
Adaboost,400,9,side_effect_3,4,0.7036637931034482,124,108,28,82,0.49
MLP,400,0,side_effect_3,0,0.6563860926679517,167,36,71,67,0.59
MLP,400,0,side_effect_3,1,0.6340157208257752,81,146,10,92,0.05
MLP,400,0,side_effect_3,2,0.6870129870129871,147,84,33,67,0.22
MLP,400,0,side_effect_3,3,0.57940930621343,181,41,65,32,0.54
MLP,400,0,side_effect_3,4,0.6471374200340109,187,46,53,53,0.38
MLP,400,1,side_effect_3,0,0.6658197985663733,140,66,44,63,0.35
MLP,400,1,side_effect_3,1,0.7178137651821862,152,82,30,65,0.29
MLP,400,1,side_effect_3,2,0.7158624772698439,185,36,44,63,0.3
MLP,400,1,side_effect_3,3,0.6489893254599136,193,45,55,56,0.56
MLP,400,1,side_effect_3,4,0.6212206361694953,166,51,70,53,0.58
MLP,400,2,side_effect_3,0,0.6128205128205129,156,36,77,53,0.53
MLP,400,2,side_effect_3,1,0.6009610983981692,157,73,44,51,0.26
MLP,400,2,side_effect_3,2,0.6157491429723735,170,58,43,44,0.27
MLP,400,2,side_effect_3,3,0.5971927966101694,184,40,76,42,0.59
MLP,400,2,side_effect_3,4,0.6768814451839392,157,85,38,75,0.4
MLP,400,3,side_effect_3,0,0.644216938827312,152,71,44,62,0.23
MLP,400,3,side_effect_3,1,0.6689290535473227,151,85,42,71,0.38
MLP,400,3,side_effect_3,2,0.6218653660332214,189,22,68,35,0.62
MLP,400,3,side_effect_3,3,0.6153474903474904,128,96,41,70,0.25
MLP,400,3,side_effect_3,4,0.624938574938575,163,59,52,58,0.41
MLP,400,4,side_effect_3,0,0.679610879491761,189,30,66,49,0.66
MLP,400,4,side_effect_3,1,0.6283730158730158,148,76,41,49,0.33
MLP,400,4,side_effect_3,2,0.6776835453562817,146,65,40,74,0.38
MLP,400,4,side_effect_3,3,0.6888514777403666,188,55,48,62,0.3
MLP,400,4,side_effect_3,4,0.6792437715292798,154,65,40,74,0.23
MLP,400,5,side_effect_3,0,0.5623344241857566,150,57,70,54,0.23
MLP,400,5,side_effect_3,1,0.6360964687223025,147,74,37,60,0.17
MLP,400,5,side_effect_3,2,0.698459280997799,159,73,27,67,0.25
MLP,400,5,side_effect_3,3,0.6458075495049506,137,65,52,76,0.12
MLP,400,5,side_effect_3,4,0.732755905511811,175,79,28,72,0.45
MLP,400,6,side_effect_3,0,0.6947641432971308,110,89,25,99,0.18
