RF,0.673,0.706,0.716,0.717,0.724,0.728,0.727,0.733,0.735,0.742
MLP,0.556,0.581,0.59,0.592,0.595,0.616,0.64,0.636,0.644,0.644
Adaboost,0.63,0.633,0.648,0.646,0.662,0.659,0.67,0.668,0.678,0.692
LR,0.621,0.664,0.683,0.708,0.707,0.71,0.712,0.719,0.73,0.725
