model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
LR,400,4,side_effect_4,4,0.7628279883381924,238,56,26,44,0.2
LR,400,5,side_effect_4,0,0.6995939813709099,221,44,38,41,0.29
LR,400,5,side_effect_4,1,0.7038961038961039,176,55,30,45,0.23
LR,400,5,side_effect_4,2,0.7356987003130632,210,44,36,47,0.26
LR,400,5,side_effect_4,3,0.7265260821309656,183,82,22,46,0.18
LR,400,5,side_effect_4,4,0.7484394506866416,193,74,22,50,0.2
LR,400,6,side_effect_4,0,0.689935064935065,147,91,28,60,0.22
LR,400,6,side_effect_4,1,0.7452411994784875,207,53,25,34,0.23
LR,400,6,side_effect_4,2,0.7317608861726509,158,80,26,62,0.21
LR,400,6,side_effect_4,3,0.7614583333333332,214,66,21,51,0.19
LR,400,6,side_effect_4,4,0.7510741138560687,213,53,28,42,0.23
LR,400,7,side_effect_4,0,0.7027148418005789,99,134,10,76,0.17
LR,400,7,side_effect_4,1,0.7419261822376009,152,103,16,52,0.17
LR,400,7,side_effect_4,2,0.7806273426711382,215,59,24,50,0.24
LR,400,7,side_effect_4,3,0.7454852320675105,147,90,16,59,0.11
LR,400,7,side_effect_4,4,0.6889026836023302,194,89,28,46,0.2
LR,400,8,side_effect_4,0,0.82687338501292,226,32,18,48,0.24
LR,400,8,side_effect_4,1,0.7581954887218044,198,68,26,49,0.23
LR,400,8,side_effect_4,2,0.7701675059089508,218,45,31,43,0.31
LR,400,8,side_effect_4,3,0.6381847475832438,114,152,14,56,0.11
LR,400,8,side_effect_4,4,0.7137839377254604,195,34,50,42,0.27
LR,400,9,side_effect_4,0,0.6916011837942647,180,59,37,45,0.22
LR,400,9,side_effect_4,1,0.6829237071172555,194,58,30,32,0.22
LR,400,9,side_effect_4,2,0.7446043165467626,209,69,18,37,0.24
LR,400,9,side_effect_4,3,0.7738850696280627,160,84,19,74,0.15
LR,400,9,side_effect_4,4,0.6754865514979226,199,70,37,48,0.24
Adaboost,400,0,side_effect_4,0,0.6878193812134163,171,58,42,52,0.49
Adaboost,400,0,side_effect_4,1,0.6826433888502115,187,76,33,38,0.49
Adaboost,400,0,side_effect_4,2,0.6931919642857143,227,29,38,32,0.5
Adaboost,400,0,side_effect_4,3,0.8023165422885572,204,64,20,52,0.49
Adaboost,400,0,side_effect_4,4,0.684156820622986,204,62,33,37,0.49
Adaboost,400,1,side_effect_4,0,0.6262439186200796,231,35,42,26,0.5
Adaboost,400,1,side_effect_4,1,0.6212566844919786,180,92,27,28,0.49
Adaboost,400,1,side_effect_4,2,0.6821557971014492,164,66,44,52,0.49
Adaboost,400,1,side_effect_4,3,0.6051643829421607,158,85,44,47,0.49
Adaboost,400,1,side_effect_4,4,0.7392190339813846,191,80,26,41,0.49
Adaboost,400,2,side_effect_4,0,0.7443627450980392,184,88,20,40,0.49
Adaboost,400,2,side_effect_4,1,0.664032006245121,159,85,34,50,0.49
Adaboost,400,2,side_effect_4,2,0.7257012393998695,146,127,14,59,0.48
Adaboost,400,2,side_effect_4,3,0.7237762237762239,196,38,38,39,0.5
Adaboost,400,2,side_effect_4,4,0.7103316741870959,201,58,38,45,0.49
Adaboost,400,3,side_effect_4,0,0.6768136160714286,156,100,26,44,0.49
Adaboost,400,3,side_effect_4,1,0.6309971020714822,153,89,29,48,0.49
Adaboost,400,3,side_effect_4,2,0.6637554585152838,144,85,29,52,0.49
Adaboost,400,3,side_effect_4,3,0.7191780821917808,248,18,43,30,0.5
Adaboost,400,3,side_effect_4,4,0.7061555272263703,155,134,16,60,0.48
Adaboost,400,4,side_effect_4,0,0.6425682234926113,183,71,37,36,0.49
Adaboost,400,4,side_effect_4,1,0.6609868974636375,248,34,37,22,0.5
Adaboost,400,4,side_effect_4,2,0.7214048410061699,165,80,28,58,0.49
Adaboost,400,4,side_effect_4,3,0.6789405684754521,181,77,30,48,0.49
Adaboost,400,4,side_effect_4,4,0.6928313773306914,90,153,8,73,0.47
Adaboost,400,5,side_effect_4,0,0.6830018939393939,196,60,29,37,0.49
Adaboost,400,5,side_effect_4,1,0.7138446215139441,171,80,25,55,0.49
Adaboost,400,5,side_effect_4,2,0.6588742393509128,129,103,27,58,0.48
Adaboost,400,5,side_effect_4,3,0.6536734693877552,240,40,42,28,0.5
Adaboost,400,5,side_effect_4,4,0.685611366820092,136,127,16,60,0.48
Adaboost,400,6,side_effect_4,0,0.7483994217265593,198,71,24,48,0.49
Adaboost,400,6,side_effect_4,1,0.7412717376875082,177,102,15,39,0.48
Adaboost,400,6,side_effect_4,2,0.5951254480286738,215,10,77,16,0.51
Adaboost,400,6,side_effect_4,3,0.6568970545348498,140,114,26,55,0.48
Adaboost,400,6,side_effect_4,4,0.6291316526610643,180,75,37,40,0.49
Adaboost,400,7,side_effect_4,0,0.7348443223443224,160,80,23,68,0.49
Adaboost,400,7,side_effect_4,1,0.7760617760617761,184,68,24,50,0.49
Adaboost,400,7,side_effect_4,2,0.7566587159610416,124,134,9,69,0.48
Adaboost,400,7,side_effect_4,3,0.7607232704402516,186,79,19,41,0.49
